,date,station_id,station_name,station_lat,station_long,ride_counts,trip_minutes
94,2019-01-01,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2882,2339327
95,2019-01-01,328,Watts St & Greenwich St,40.72405549,-74.00965965,1810,1472614
96,2019-01-01,330,Reade St & Broadway,40.71450451,-74.00562789,1447,980748
97,2019-01-01,331,Pike St & Monroe St,40.71173107,-73.99193043,1112,1021354
98,2019-01-01,332,Cherry St,40.71219906,-73.97948148,852,781899
99,2019-01-01,334,W 20 St & 7 Ave,40.74238787,-73.99726235,2969,2494676
100,2019-01-01,335,Washington Pl & Broadway,40.72903917,-73.99404649,1999,1285498
101,2019-01-01,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,1961,1472421
102,2019-01-01,337,Old Slip & Front St,40.7037992,-74.00838676,1021,919687
103,2019-01-01,339,Avenue D & E 12 St,40.72580614,-73.97422494,851,688265
104,2019-01-01,340,Madison St & Clinton St,40.71269042,-73.98776323,1198,1921533
105,2019-01-01,341,Stanton St & Mangin St,40.71782143,-73.97628939,892,769703
106,2019-01-01,342,Columbia St & Rivington St,40.71739973,-73.98016555,1479,1045035
107,2019-01-01,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,339,317672
108,2019-01-01,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,743,407564
109,2019-01-01,346,Bank St & Hudson St,40.73652889,-74.00618026,1906,1321116
110,2019-01-01,347,Greenwich St & W Houston St,40.728846,-74.008591,2350,1773048
111,2019-01-01,349,Rivington St & Ridge St,40.71850211,-73.98329859,1207,907508
112,2019-01-01,350,Clinton St & Grand St,40.71559509,-73.9870295,3074,2187608
113,2019-01-01,351,Front St & Maiden Ln,40.70530954,-74.00612572,1237,1955406
114,2019-01-01,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,702,370882
115,2019-01-01,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,669,523975
116,2019-01-01,355,Bayard St & Baxter St,40.71602118,-73.99974372,2047,1518144
117,2019-01-01,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,1113,892642
118,2019-01-01,357,E 11 St & Broadway,40.73261787,-73.99158043,1650,1232825
119,2019-01-01,358,Christopher St & Greenwich St,40.73291553,-74.00711384,3949,3039917
120,2019-01-01,359,E 47 St & Park Ave,40.75510267,-73.97498696,5052,3491644
121,2019-01-01,360,William St & Pine St,40.70717936,-74.00887308,1426,1210422
122,2019-01-01,361,Allen St & Hester St,40.71605866,-73.99190759,2117,1486862
123,2019-01-01,362,Broadway & W 37 St,40.75172632,-73.98753523,1426,1016734
124,2019-01-01,363,West Thames St,40.70834698,-74.01713445,1707,1141175
125,2019-01-01,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,860,557504
126,2019-01-01,365,Fulton St & Grand Ave,40.68223166,-73.9614583,676,456884
127,2019-01-01,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,1534,962371
128,2019-01-01,368,Carmine St & 6 Ave,40.73038599,-74.00214988,3988,3088703
129,2019-01-01,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,1638,1176237
130,2019-01-01,372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,235,196154
131,2019-01-01,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,283,195156
132,2019-01-01,376,John St & William St,40.70862144,-74.00722156,523,383982
133,2019-01-01,377,6 Ave & Canal St,40.72243797,-74.00566443,1986,1462753
134,2019-01-01,379,W 31 St & 7 Ave,40.749156,-73.9916,4634,3042781
135,2019-01-01,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,2662,2268045
136,2019-01-01,382,University Pl & E 14 St,40.73492695,-73.99200509,4007,3021075
137,2019-01-01,383,Greenwich Ave & Charles St,40.735238,-74.000271,2037,1476764
138,2019-01-01,385,E 55 St & 2 Ave,40.75797322,-73.96603308,1834,1282364
139,2019-01-01,386,Centre St & Worth St,40.71494807,-74.00234482,1089,1213623
140,2019-01-01,387,Centre St & Chambers St,40.71273266,-74.0046073,3003,2874422
141,2019-01-01,388,W 26 St & 10 Ave,40.749717753,-74.002950346,2271,2344354
142,2019-01-01,389,Broadway & Berry St,40.71044554,-73.96525063,1140,780882
143,2019-01-01,390,Duffield St & Willoughby St,40.69221589,-73.9842844,1059,695336
144,2019-01-01,391,Clark St & Henry St,40.69760127,-73.99344559,2064,1300191
145,2019-01-01,392,Jay St & Tech Pl,40.695065,-73.987167,964,907084
146,2019-01-01,393,E 5 St & Avenue C,40.72299208,-73.97995466,1452,1196959
147,2019-01-01,394,E 9 St & Avenue C,40.72521311,-73.97768752,2412,1693270
148,2019-01-01,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,447,273475
149,2019-01-01,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,421,355650
150,2019-01-01,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,623,670609
151,2019-01-01,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,861,499936
152,2019-01-01,400,Pitt St & Stanton St,40.71926081,-73.98178024,488,453967
153,2019-01-01,401,Allen St & Rivington St,40.72019576,-73.98997825,2621,1864759
154,2019-01-01,402,Broadway & E 22 St,40.7403432,-73.98955109,5896,3754683
